;Códigodo_fundo;Setor;Preço_Atual;Liquidez_Diária;Dividendo;DividendYield;DY_(3M)Acumulado;DY_(6M)Acumulado;DY_(12M)Acumulado;DY_(3M)Média;DY_(6M)Média;DY_(12M)Média;DY_Ano;Variação_Preço;Rentab.Período;Rentab.Acumulada;PatrimônioLíq.;VPA;P/VPA;DYPatrimonial;VariaçãoPatrimonial;Rentab._Patr.no_Período;Rentab._Patr.Acumulada;VacânciaFísica;VacânciaFinanceira;QuantidadeAtivos
0;FIVN11;Shoppings;3.14;66915.0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.0;0.0;0.00;0.00;0.00;65.531.708.68;6.96;45.0;0;0;0;0;56.00;0;1
1;BZLI11;Títulos e Val. Mob.;14.70;44041.0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.0;0.0;0.68;0.68;1.14;440.205.505.76;10.78;136.0;0;0;0;0;0;0;0
2;XTED11;Lajes Corporativas;6.96;501.0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.0;0.0;1.10;1.10;-37.83;27.172.278.20;13.83;50.0;0;0;0;0;0.00;100.00;1
3;ALMI11;Lajes Corporativas;875.05;7.0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.0;0.0;2.27;2.27;-28.29;249.878.508.15;2.247.57;39.0;0;0;0;0;64.05;0;1
4;PABY11;Híbrido;8.11;87.0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.0;0.0;-19.84;-19.84;-31.62;-10.950.151.50;-14.44;-56.0;0;0;0;0;0;0;1
5;ORPD11;Títulos e Val. Mob.;93.00;3.0;1.38;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;43.445.940.90;149.81;62.0;0;0;0;0;0;0;0
6;FISC11;Lajes Corporativas;165.00;200.0;0.22;0.00;0.00;0.00;0.00;0.00;0.00;0.0;0.0;0.0;0.0;0.00;195.700.769.40;115.12;143.0;0;0;0;0;0;0;0
7;ATSA11;Shoppings;84.98;15.0;0.25;0.18;0.59;1.30;2.97;0.20;0.22;0.25;0.37;0.74;0.92;1.10;157.482.761.24;89.93;94.0;0;0;0;0;21.90;0;1
8;CXTL11;Logística;375.00;140.0;0.48;0.16;0.67;1.29;0.00;0.22;0.22;0.00;0.42;-6.12;-5.97;-5.73;37.634.810.74;702.18;53.0;0;0;0;0;61.00;0;3
9;HTMX11;Hotel;115.84;2750.0;0.00;0.00;0.80;2.20;5.41;0.27;0.37;0.45;0.80;-28.14;-28.14;-32.26;164.192.001.82;130.62;89.0;0;0;0;0;65.00;0;23
10;GSFI11;Shoppings;4.49;3724.0;0.00;0.03;0.03;0.03;0.03;0.01;0.00;0.00;0.03;0.00;0.03;0.03;1.001.230.351.68;13.31;34.0;0;0;0;0;10.30;0;10
11;NEWU11;Lajes Corporativas;33.40;14.0;0.00;0.00;0.00;0.56;16.63;0.00;0.09;1.39;0.61;-4.04;-4.04;-31.62;48.010.260.81;64.70;52.0;0;0;0;0;63.20;0;3
12;PRSV11;Lajes Corporativas;113.00;50.0;1.62;0.42;1.53;2.91;5.95;0.51;0.48;0.50;4.46;5.30;5.74;-11.25;47.475.350.20;243.46;46.0;0;0;0;0;40.90;0;2
13;FAMB11B;Lajes Corporativas;786.00;3.0;9.16;0.56;2.17;4.78;10.43;0.72;0.80;0.87;8.82;-47.80;-47.51;-47.80;322.048.422.38;3.072.98;26.0;0;0;0;0;100.00;0;1
14;FMOF11;Lajes Corporativas;62.01;1.0;0.64;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;62.318.640.77;122.67;51.0;0;0;0;0;52.08;0;1
15;HGRS11;Residencial;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.0;0.0;0.0;0.0;0.00;151.091.806.51;101.20;0;0;0;0;0;0;0;0
16;KNRE11;Residencial;0.95;17261.0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.0;0.0;0.0;0.0;0.00;21.319.344.49;1.15;83.0;0;0;0;0;0;0;0
17;RBDS11;Residencial;3.72;46.0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.0;0.0;0.0;0.0;0.00;2.801.649.45;22.14;17.0;0;0;0;0;0;0;0
18;WTSP11B;Híbrido;38.00;3.0;0.32;0.76;2.57;4.67;6.85;0.86;0.78;0.57;0.76;0.00;0.76;0.76;81.474.663.30;82.08;46.0;0;0;0;0;0;0;0
19;OULG11;Outros;45.10;10480.0;0.17;0.38;1.14;3.40;8.03;0.38;0.57;0.67;1.50;3.09;3.48;-3.91;180.654.620.72;72.81;62.0;0;0;0;0;0.00;0;2
20;VXXV11;Outros;910.00;5495.0;10.76;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;231.483.050.85;876.17;104.0;0;0;0;0;0;0;0
21;BICE11;Títulos e Val. Mob.;1000.00;24.0;5.40;0.00;0.00;0.00;0.00;0.00;0.00;0.0;0.0;0.0;0.0;0.00;20.825.253.17;988.34;101.0;0;0;0;0;0;0;0
22;HRDF11;Híbrido;1.08;433.0;6.80;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;8.696.803.65;1.15;94.0;0;0;0;0;0;0;0
23;CJCT11;Lajes Corporativas;81.59;211.0;0.00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;185.924.372.71;64.78;126.0;0;0;0;0;59.00;0;1
24;LFTT11;Residencial;92.79;40.0;0.75;0;0;0;0;0;0;0.0;0.0;0;0;0;387.300.227.89;53.02;175.0;6.92;-12.09;-6.00;-69.33;0;0;0
25;HCRI11;Hospital;243.01;68.0;2.49;0.88;2.36;4.77;9.33;0.79;0.80;0.78;1.62;-18.08;-17.35;-16.74;51.810.193.32;259.05;94.0;0;0;0;0;0.00;0;1
26;DRIT11B;Lajes Corporativas;87.12;1.0;0.33;0.28;0.80;0.00;0.00;0.27;0.00;0.00;1.28;5.78;6.07;-7.42;58.069.142.62;125.34;70.0;0;0;0;0;10.47;0;6
27;CTXT11;Lajes Corporativas;12.79;56.0;0.09;0.39;0.78;1.36;5.53;0.26;0.23;0.46;1.36;-2.58;-2.20;-39.31;115.874.720.49;39.92;32.0;0;0;0;0;97.00;0;1
28;GESE11B;Outros;1520.00;300.0;12.60;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.0;0.00;0.00;0.00;86.540.717.02;1.664.24;91.0;0;0;0;0;0;0;0
29;SRVD11;Títulos e Val. Mob.;7.14;50.0;0.10;1.01;0.00;0.00;0.00;0.00;0.00;0.00;1.01;0.00;1.01;1.01;71.733.167.06;0.75;958.0;0;0;0;0;0;0;0
30;RBIR11;Residencial;69.38;5.0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.0;0.00;146.657.061.56;95.94;72.0;0;0;0;0;0;0;0
31;CARE11;Híbrido;3.98;8859.0;0.00;0.23;0.66;1.36;1.60;0.22;0.23;0.13;1.36;-2.63;-2.41;5.65;293.084.042.50;8.19;49.0;0;0;0;0;0;0;0
32;VJFD11;Híbrido;0;0.0;0.86;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.0;0.00;0.0;0.00;646.971.334.45;132.68;0;0;0;0;0;0;0;0
33;RBGS11;Shoppings;28.45;5157.0;0.18;0.62;1.59;2.73;5.12;0.53;0.46;0.43;5.12;-1.90;-1.29;-28.71;97.865.283.71;90.78;31.0;0.18;0.00;0.18;1.17;13.00;0;1
34;BPML11;Shoppings;63.74;83.0;0.15;0.23;0.95;2.59;0.00;0.32;0.43;0.00;1.49;-7.36;-7.14;1.82;540.961.727.13;125.66;51.0;0;0;0;0;5.80;0;7
35;TORD11;Outros;8.04;86946.0;0.17;1.94;3.98;6.33;12.27;1.33;1.06;1.02;6.33;-6.41;-4.59;-3.33;494.592.924.55;14.11;57.0;0;0;0;0;0;0;0
36;XPIN11;Outros;85.04;6221.0;0.61;0.85;2.50;4.74;8.91;0.83;0.79;0.74;5.47;0.34;1.19;-11.53;783.044.980.55;109.51;78.0;0.56;0.37;0.93;3.75;17.30;12.00;5
37;IBFF11;Títulos e Val. Mob.;66.40;1924.0;0.30;0.44;2.01;4.58;9.52;0.67;0.76;0.79;5.42;7.50;7.98;19.59;48.361.846.89;72.54;92.0;0.69;-1.95;-1.28;-0.61;0;0;0
38;OUJP11;Títulos e Val. Mob.;94.98;5662.0;1.25;1.31;4.26;8.50;15.38;1.42;1.42;1.28;11.10;0.86;2.18;16.37;327.636.851.52;100.74;94.0;1.34;-0.50;0.83;9.12;0;0;0
39;YUFI11B;Residencial;0;0.0;0.63;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.0;0.00;0.00;0.00;41.706.771.81;105.55;0;0.48;2.41;2.90;5.70;0;0;0
40;KNRI11;Híbrido;151.36;16126.0;0.91;0.59;1.90;3.74;7.27;0.63;0.62;0.61;4.96;13.18;13.85;22.12;3.860.148.592.90;159.79;95.0;0.57;0.01;0.58;5.22;2.00;6.72;20
41;GCRI11;Títulos e Val. Mob.;95.74;611.0;1.25;1.31;4.25;8.67;15.50;1.42;1.45;1.29;9.89;-1.94;-0.66;6.78;98.377.736.44;98.35;97.0;1.50;-1.03;0.46;1.67;0;0;0
42;GCFF11;Títulos e Val. Mob.;73.87;761.0;0.76;1.06;3.23;6.29;11.81;1.08;1.05;0.98;7.22;2.74;3.83;-4.31;30.096.700.62;88.89;83.0;0.88;-2.44;-1.58;-0.77;0;0;0
